step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,guaman-poma-nueva,0.5143229822314306,0.49227470218948977,0.9,,What message is this image trying to convay,The image was warning Spanish colonists about the dangers of natures facing them in the New World.,,,,,,,,
2,guaman-poma-nueva,0.3035300178573556,0.2676491655371039,2.2340791738382104,,"How does the writing give insight into the images purpose ",Latin alphabet writing means that this image was made by Europeans rather than Indigenous Americans.,,,,,,,,
3,guaman-poma-nueva,0.39945486101225613,0.34920633990492655,2.159696321358003,,How do the type of animals determine the audience of the image?,"The animals within the image are naive to the Americas, meaning that the image was made for those in or going to the Americas.  ",,,,,,,,
4,guaman-poma-nueva,0.6619526000031931,0.5861097052363965,2.2340791738382104,,Why was this image made,"The image depicts animals with exaggerated grotesque features, showing to those going to the America’s the dangers of the New World. ",,,,,,,,
