order,story_id,title,subtitle,byline,private,show_sections
orden,id_historia,titulo,subtitulo,firma,privada,mostrar_secciones
0,guaman-poma-nueva,"Guamán Poma, Nueva corónica y buen gobierno",Punishment and Justice,,,
